"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","54"
"Christianity","266"
"Hindu","16195"
"Islam","0"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","28"
"Total","16544"
