"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","2"
"Cow Dung","4"
"Electricity Fuel","0"
"KeroseneFuel","3"
"LP Gas","3"
"Not Sated about Fuel","4"
"OthersFuel","0"
"Wood/FireWood","3490"
"Total","3506"
