"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","40"
"Cow Dung","5"
"Electricity Fuel","0"
"KeroseneFuel","5"
"LP Gas","13"
"Not Sated about Fuel","19"
"OthersFuel","0"
"Wood/FireWood","4391"
"Total","4473"
