"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","0"
"Cow Dung","2"
"Electricity Fuel","0"
"KeroseneFuel","27"
"LP Gas","0"
"Not Sated about Fuel","9"
"OthersFuel","1"
"Wood/FireWood","2732"
"Total","2771"
