"Population by Five Years Age Group","Number"
"0-4",""
"Female","7433"
"Male","7528"
"10-14",""
"Female","7126"
"Male","7299"
"15-19",""
"Female","5902"
"Male","5521"
"20-24",""
"Female","5177"
"Male","4847"
"25-29",""
"Female","4034"
"Male","4258"
"30-34",""
"Female","3214"
"Male","3199"
"35-39",""
"Female","2991"
"Male","3139"
"40-44",""
"Female","2406"
"Male","2521"
"45-49",""
"Female","2033"
"Male","2314"
"50-54",""
"Female","1590"
"Male","1793"
"55-59",""
"Female","1283"
"Male","1592"
"5-9",""
"Female","7891"
"Male","7812"
"60-64",""
"Female","1678"
"Male","1498"
"65-69",""
"Female","732"
"Male","781"
"70-74",""
"Female","274"
"Male","438"
"75+",""
"Female","259"
"Male","358"
