"Agricultural land use area","Hectare"
"Area under arable land","6143.27"
"Area under meadows and pasture","85.49"
"Area under permanent crops","536.82"
"Area under Temporary crops","5701.08"
"Area under temporary fallow","392.86"
"Area under temporary meadows","49.34"
"Other land","228.69"
"Ponds","3.62"
"Woodland and forest","12.98"
