"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","9"
"Cow Dung","1"
"Electricity","2"
"Kerosene","4"
"LP Gas","113"
"Not stated","126"
"Others","18"
"Wood/Firewood","19018"
"Total","19291"
