"Industries Types","Number"
"Accommodation and food","1242"
"Administrative and support service activity","16"
"Agriculture, forestry and fishing","752"
"Art, entertainment and recreation","26"
"Construction","22"
"Education","567"
"Electricty gas and water","12"
"Financial intermediation and insurance","265"
"Health and social work","247"
"Information and communications","16"
"Manufacturing","1196"
"Mining and quarrying","21"
"Other service activities","624"
"Professional,scientific and techniqual activity","53"
"Real state, renting and business activities","0"
"Transport and storage","23"
"Water supply, wet management","25"
"Wholesale and retail trade","3687"
"Total","8794"
