"Population by Five Years Age Group","Number"
"0-4",""
"Female","1429"
"Male","1457"
"10-14",""
"Female","1724"
"Male","1824"
"15-19",""
"Female","1260"
"Male","1346"
"20-24",""
"Female","1074"
"Male","1014"
"25-29",""
"Female","979"
"Male","1009"
"30-34",""
"Female","926"
"Male","839"
"35-39",""
"Female","806"
"Male","834"
"40-44",""
"Female","690"
"Male","702"
"45-49",""
"Female","613"
"Male","638"
"50-54",""
"Female","456"
"Male","530"
"55-59",""
"Female","379"
"Male","413"
"5-9",""
"Female","1796"
"Male","1904"
"60-64",""
"Female","338"
"Male","376"
"65-69",""
"Female","248"
"Male","307"
"70-74",""
"Female","167"
"Male","169"
"75+",""
"Female","127"
"Male","122"
