"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","25"
"Male","29"
"","54"
"Gurung",""
"Female","27"
"Male","24"
"","51"
"Hindi",""
"Female","6"
"Male","17"
"","23"
"Lapcha",""
"Female","201"
"Male","189"
"","390"
"Limbu",""
"Female","6"
"Male","6"
"","12"
"Magar",""
"Female","29"
"Male","35"
"","64"
"Maithili",""
"Female","16"
"Male","24"
"","40"
"Nepali",""
"Female","7087"
"Male","6710"
"","13797"
"Newar",""
"Female","1982"
"Male","1997"
"","3979"
"Not Reported",""
"Female","3"
"Male","22"
"","25"
"Others",""
"Female","42"
"Male","43"
"","85"
"Pahari",""
"Female","11"
"Male","1"
"","12"
"Rai",""
"Female","8"
"Male","6"
"","14"
"Sherpa",""
"Female","25"
"Male","21"
"","46"
"Tamang",""
"Female","2936"
"Male","2728"
"","5664"
"Tharu",""
"Female","5"
"Male","8"
"","13"
"Tibetan",""
"Female","15"
"Male","13"
"","28"
