"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","25"
"Cow Dung","1"
"Electricity Fuel","5"
"KeroseneFuel","87"
"LP Gas","1694"
"Not Sated about Fuel","37"
"OthersFuel","37"
"Wood/FireWood","3602"
"Total","5488"
