"Population by Caste Ethinicity","Number"
"Badi",""
"Female","8"
"Male","4"
"","12"
"Brahman - Hill",""
"Female","340"
"Male","238"
"","578"
"Chhetri",""
"Female","3917"
"Male","2862"
"","6779"
"Damai/Dholi",""
"Female","160"
"Male","137"
"","297"
"Ghale",""
"Female","13"
"Male","16"
"","29"
"Gharti/Bhujel",""
"Female","181"
"Male","136"
"","317"
"Gurung",""
"Female","82"
"Male","61"
"","143"
"Kami",""
"Female","533"
"Male","443"
"","976"
"Magar",""
"Female","293"
"Male","237"
"","530"
"Newar",""
"Female","1993"
"Male","1809"
"","3802"
"Others",""
"Female","19"
"Male","18"
"","37"
"Sanyasi/Dasnami",""
"Female","20"
"Male","14"
"","34"
"Sarki",""
"Female","8"
"Male","7"
"","15"
"Sherpa",""
"Female","7"
"Male","8"
"","15"
"Tamang",""
"Female","3321"
"Male","2780"
"","6101"
"Thami",""
"Female","17"
"Male","16"
"","33"
