"Industries Employment","Number"
"Accommodation,  food",""
"Female","7814"
"Male","17246"
"Administrative, support service",""
"Female","123"
"Male","3028"
"Agriculture, forestry and  fishing",""
"Female","922"
"Male","3586"
"Arts, entertainment, recreation",""
"Female","22"
"Male","623"
"Construction",""
"Female","119"
"Male","880"
"Education",""
"Female","17884"
"Male","33217"
"Electricity, gas and water",""
"Female","14"
"Male","214"
"Financial intermediation and insurance",""
"Female","5145"
"Male","10947"
"Health, social work",""
"Female","5244"
"Male","8330"
"Information and communication",""
"Female","374"
"Male","1684"
"Manufacturing",""
"Female","10683"
"Male","69095"
"Other service activities",""
"Female","4423"
"Male","13836"
"Professional, scientific, techniqual activity",""
"Female","127"
"Male","1671"
"Real estate, renting and business activity",""
"Female","2"
"Male","29"
"Transportation,  storage",""
"Female","227"
"Male","1471"
"Water supply, wet management",""
"Female","122"
"Male","913"
"Wholesale, retail trade",""
"Female","33446"
"Male","101257"
