"Industries Types","Number"
"Accommodation and food","10813"
"Administrative and support service activity","895"
"Agriculture, forestry and fishing","1231"
"Art, entertainment and recreation","153"
"Construction","110"
"Education","4324"
"Electricty gas and water","10"
"Financial intermediation and insurance","1369"
"Health and social work","1725"
"Information and communications","246"
"Manufacturing","12654"
"Mining and quarrying","37"
"Other service activities","8284"
"Professional,scientific and techniqual activity","1055"
"Real state, renting and business activities","29"
"Transport and storage","328"
"Water supply, wet management","185"
"Wholesale and retail trade","74222"
"Total","117670"
