"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","43"
"Male","41"
"Chhetri",""
"Female","229"
"Male","186"
"Dalit Others",""
"Female","7"
"Male","8"
"Damai/Dholi",""
"Female","38"
"Male","48"
"Gharti/Bhujel",""
"Female","7"
"Male","10"
"Kami",""
"Female","262"
"Male","192"
"Magar",""
"Female","499"
"Male","473"
"Musalman",""
"Female","23"
"Male","16"
"Newar",""
"Female","397"
"Male","401"
"Others",""
"Female","13"
"Male","20"
"Sarki",""
"Female","10"
"Male","10"
"Sunuwar",""
"Female","182"
"Male","144"
"Tamang",""
"Female","5403"
"Male","4771"
"Thami",""
"Female","177"
"Male","151"
