"Population by Five Years Age Group","Number"
"0-4",""
"Female","678"
"Male","637"
"10-14",""
"Female","746"
"Male","693"
"15-19",""
"Female","625"
"Male","575"
"20-24",""
"Female","493"
"Male","353"
"25-29",""
"Female","402"
"Male","256"
"30-34",""
"Female","334"
"Male","196"
"35-39",""
"Female","307"
"Male","202"
"40-44",""
"Female","297"
"Male","236"
"45-49",""
"Female","299"
"Male","225"
"50-54",""
"Female","236"
"Male","229"
"55-59",""
"Female","195"
"Male","164"
"5-9",""
"Female","663"
"Male","740"
"60-64",""
"Female","224"
"Male","194"
"65-69",""
"Female","134"
"Male","139"
"70-74",""
"Female","104"
"Male","97"
"75+",""
"Female","109"
"Male","99"
