"Number of households by type of outer wall","Number"
"BambooWall","5690"
"Cement Bonded Bricks/Stone Wall","2425"
"Mud Bonded Bricks/Stone Wall","136"
"Not Stated about Wall","86"
"Other Type Wall","21"
"Unbaked Bricks","10"
"Wood/Planks","164"
"Total","8532"
