"Population by Five Years Age Group","Number"
"0-4",""
"Female","1187"
"Male","1228"
"10-14",""
"Female","1385"
"Male","1319"
"15-19",""
"Female","1080"
"Male","889"
"20-24",""
"Female","923"
"Male","530"
"25-29",""
"Female","725"
"Male","419"
"30-34",""
"Female","603"
"Male","384"
"35-39",""
"Female","556"
"Male","389"
"40-44",""
"Female","484"
"Male","340"
"45-49",""
"Female","408"
"Male","368"
"50-54",""
"Female","306"
"Male","281"
"55-59",""
"Female","291"
"Male","250"
"5-9",""
"Female","1274"
"Male","1374"
"60-64",""
"Female","282"
"Male","242"
"65-69",""
"Female","249"
"Male","185"
"70-74",""
"Female","144"
"Male","133"
"75+",""
"Female","181"
"Male","140"
