"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","426"
"Cow Dung","13"
"Electricity","5"
"Kerosene","52"
"LP Gas","126"
"Not stated","19"
"Others","1"
"Wood/Firewood","4007"
"Total","4649"
