"Population by Five Years Age Group","Number"
"0-4",""
"Female","2588"
"Male","2744"
"10-14",""
"Female","4112"
"Male","4344"
"15-19",""
"Female","4693"
"Male","4623"
"20-24",""
"Female","4727"
"Male","4083"
"25-29",""
"Female","4118"
"Male","3884"
"30-34",""
"Female","3424"
"Male","3231"
"35-39",""
"Female","3011"
"Male","2858"
"40-44",""
"Female","2433"
"Male","2520"
"45-49",""
"Female","2053"
"Male","2040"
"50-54",""
"Female","1598"
"Male","1665"
"55-59",""
"Female","1169"
"Male","1247"
"5-9",""
"Female","3142"
"Male","3339"
"60-64",""
"Female","1107"
"Male","991"
"65-69",""
"Female","907"
"Male","779"
"70-74",""
"Female","645"
"Male","587"
"75+",""
"Female","934"
"Male","780"
