"Number of households by type of outer wall","Number"
"BambooWall","5955"
"Cement Bonded Bricks/Stone Wall","1683"
"Mud Bonded Bricks/Stone Wall","229"
"Not stated","23"
"Others","43"
"Unbaked Bricks","8"
"Wood/Planks","68"
"Total","8009"
