"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","18"
"Cow Dung","13"
"Electricity Fuel","7"
"KeroseneFuel","633"
"LP Gas","23446"
"Not Sated about Fuel","159"
"OthersFuel","28"
"Wood/FireWood","2181"
"Total","26485"
