"Number of households by type of outer wall","Number"
"BambooWall","213"
"Cement Bonded Bricks/Stone Wall","22838"
"Mud Bonded Bricks/Stone Wall","2558"
"Not Stated about Wall","467"
"Other Type Wall","63"
"Unbaked Bricks","230"
"Wood/Planks","116"
"Total","26485"
