"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2919"
"Male","2249"
"","5168"
"Chhantyal/Chhantel",""
"Female","28"
"Male","24"
"","52"
"Chhetri",""
"Female","2867"
"Male","2137"
"","5004"
"Damai/Dholi",""
"Female","738"
"Male","581"
"","1319"
"Gharti/Bhujel",""
"Female","25"
"Male","18"
"","43"
"Gurung",""
"Female","512"
"Male","415"
"","927"
"Kami",""
"Female","1563"
"Male","1193"
"","2756"
"Limbu",""
"Female","12"
"Male","10"
"","22"
"Magar",""
"Female","1687"
"Male","1331"
"","3018"
"Musalman",""
"Female","6"
"Male","8"
"","14"
"Newar",""
"Female","58"
"Male","51"
"","109"
"Others",""
"Female","33"
"Male","21"
"","54"
"Rai",""
"Female","29"
"Male","28"
"","57"
"Sanyasi/Dasnami",""
"Female","101"
"Male","79"
"","180"
"Sarki",""
"Female","727"
"Male","603"
"","1330"
"Tamang",""
"Female","42"
"Male","39"
"","81"
"Thakuri",""
"Female","655"
"Male","495"
"","1150"
