"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","9"
"Cow Dung","2"
"Electricity Fuel","16"
"KeroseneFuel","6"
"LP Gas","412"
"Not Sated about Fuel","24"
"OthersFuel","1"
"Wood/FireWood","5009"
"Total","5479"
