"Population by Religion","Number"
"Bahai","7"
"Bon","1"
"Buddism","3036"
"Christianity","111"
"Hindu","10155"
"Islam","6"
"Jainism","0"
"Kirat","8236"
"Prakriti","22"
"Sikhism","0"
"Undefined","45"
"Total","21619"
