"Population by Caste Ethinicity","Number"
"Bote",""
"Female","5"
"Male","7"
"","12"
"Brahman - Hill",""
"Female","1317"
"Male","1216"
"","2533"
"Brahman - Tarai",""
"Female","8"
"Male","10"
"","18"
"Chhetri",""
"Female","2265"
"Male","1966"
"","4231"
"Damai/Dholi",""
"Female","184"
"Male","158"
"","342"
"Gharti/Bhujel",""
"Female","93"
"Male","89"
"","182"
"Gurung",""
"Female","83"
"Male","76"
"","159"
"Kami",""
"Female","441"
"Male","383"
"","824"
"Limbu",""
"Female","2441"
"Male","2106"
"","4547"
"Magar",""
"Female","1351"
"Male","1194"
"","2545"
"Newar",""
"Female","374"
"Male","325"
"","699"
"Others",""
"Female","20"
"Male","20"
"","40"
"Rai",""
"Female","2134"
"Male","1846"
"","3980"
"Sanyasi/Dasnami",""
"Female","114"
"Male","97"
"","211"
"Sarki",""
"Female","43"
"Male","38"
"","81"
"Sherpa",""
"Female","9"
"Male","5"
"","14"
"Sunuwar",""
"Female","168"
"Male","149"
"","317"
"Tamang",""
"Female","428"
"Male","399"
"","827"
"Undefined Others",""
"Female","29"
"Male","28"
"","57"
