"Agricultural land use area","Hectare"
"Area under arable land","14889.00"
"Area under meadows and pasture","322.00"
"Area under permanent crops","4747.00"
"Area under Temporary crops","14673.00"
"Area under temporary fallow","178.00"
"Area under temporary meadows","37.00"
"Other land","693.00"
"Ponds","8.00"
"Woodland and forest","1668.00"
"Total","37215.00"
