"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","8725"
"Mud Roof","2"
"Not Sated Roof","178"
"Other Type of Roof","519"
"RCC Roof","362"
"Thatch/Straw Roof","16128"
"Tile/Slate Roof","144"
"Wood/Planks Roof","413"
"Total","26471"
