"Number of households by type of outer wall","Number"
"BambooWall","8838"
"Cement Bonded Bricks/Stone Wall","2528"
"Mud Bonded Bricks/Stone Wall","266"
"Not stated","76"
"Others","40"
"Unbaked Bricks","10"
"Wood/Planks","1355"
"Total","13113"
