"Population by Five Years Age Group","Number"
"0-4",""
"Female","2991"
"Male","3017"
"10-14",""
"Female","4384"
"Male","4424"
"15-19",""
"Female","3549"
"Male","3538"
"20-24",""
"Female","2974"
"Male","2496"
"25-29",""
"Female","2775"
"Male","2140"
"30-34",""
"Female","2292"
"Male","1962"
"35-39",""
"Female","2055"
"Male","1926"
"40-44",""
"Female","1733"
"Male","1756"
"45-49",""
"Female","1462"
"Male","1466"
"50-54",""
"Female","1255"
"Male","1366"
"55-59",""
"Female","962"
"Male","1062"
"5-9",""
"Female","3816"
"Male","3977"
"60-64",""
"Female","1014"
"Male","1007"
"65-69",""
"Female","647"
"Male","710"
"70-74",""
"Female","444"
"Male","474"
"75+",""
"Female","558"
"Male","489"
