"Population by Five Years Age Group","Number"
"0-4",""
"Female","1837"
"Male","1850"
"10-14",""
"Female","3018"
"Male","2903"
"15-19",""
"Female","2858"
"Male","2473"
"20-24",""
"Female","2333"
"Male","1248"
"25-29",""
"Female","1970"
"Male","999"
"30-34",""
"Female","1573"
"Male","776"
"35-39",""
"Female","1660"
"Male","771"
"40-44",""
"Female","1511"
"Male","856"
"45-49",""
"Female","1394"
"Male","879"
"50-54",""
"Female","1363"
"Male","1067"
"55-59",""
"Female","1031"
"Male","948"
"5-9",""
"Female","2349"
"Male","2371"
"60-64",""
"Female","1101"
"Male","897"
"65-69",""
"Female","776"
"Male","682"
"70-74",""
"Female","542"
"Male","578"
"75+",""
"Female","818"
"Male","747"
