"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","2064"
"Cow Dung","40"
"Electricity","20"
"Kerosene","46"
"LP Gas","1293"
"Not stated","89"
"Others","8"
"Wood/Firewood","8535"
"Total","12095"
