"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","338"
"Male","308"
"","646"
"Chhetri",""
"Female","1848"
"Male","1507"
"","3355"
"Damai/Dholi",""
"Female","339"
"Male","272"
"","611"
"Ghale",""
"Female","12"
"Male","5"
"","17"
"Gharti/Bhujel",""
"Female","89"
"Male","75"
"","164"
"Gurung",""
"Female","4785"
"Male","3998"
"","8783"
"Hyolmo",""
"Female","9"
"Male","17"
"","26"
"Kami",""
"Female","1119"
"Male","1039"
"","2158"
"Magar",""
"Female","18"
"Male","19"
"","37"
"Musalman",""
"Female","6"
"Male","8"
"","14"
"Newar",""
"Female","100"
"Male","88"
"","188"
"Others",""
"Female","14"
"Male","21"
"","35"
"Rai",""
"Female","21"
"Male","20"
"","41"
"Sanyasi/Dasnami",""
"Female","11"
"Male","7"
"","18"
"Sarki",""
"Female","255"
"Male","184"
"","439"
"Tamang",""
"Female","1171"
"Male","1043"
"","2214"
"Thakali",""
"Female","5"
"Male","8"
"","13"
