"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","3"
"Male","13"
"","16"
"Gurung",""
"Female","4758"
"Male","3974"
"","8732"
"Hyolmo/Yholmo",""
"Female","9"
"Male","17"
"","26"
"Magar",""
"Female","10"
"Male","10"
"","20"
"Nepali",""
"Female","4087"
"Male","3462"
"","7549"
"Newar",""
"Female","81"
"Male","71"
"","152"
"Others",""
"Female","18"
"Male","19"
"","37"
"Rai",""
"Female","16"
"Male","16"
"","32"
"Tamang",""
"Female","1153"
"Male","1029"
"","2182"
"Thakali",""
"Female","5"
"Male","8"
"","13"
