"Population by Mother tongue","Number"
"Bantawa",""
"Female","9"
"Male","7"
"Bhojpuri",""
"Female","7"
"Male","6"
"Bhujel",""
"Female","17"
"Male","14"
"Hindi",""
"Female","6"
"Male","16"
"Limbu",""
"Female","363"
"Male","298"
"Magar",""
"Female","1406"
"Male","1168"
"Maithili",""
"Female","23"
"Male","34"
"Nepali",""
"Female","10038"
"Male","8506"
"Newar",""
"Female","237"
"Male","195"
"Others",""
"Female","23"
"Male","29"
"Rai",""
"Female","80"
"Male","71"
"Tamang",""
"Female","426"
"Male","327"
"Yakkha",""
"Female","828"
"Male","666"
