"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","70"
"Cow Dung","988"
"Electricity","3"
"Kerosene","71"
"LP Gas","421"
"Not stated","64"
"Others","8"
"Wood/Firewood","5099"
"Total","6724"
