"Number of households by type of outer wall","Number"
"BambooWall","89"
"Cement Bonded Bricks/Stone Wall","1247"
"Mud Bonded Bricks/Stone Wall","3177"
"Not stated","310"
"Others","1232"
"Unbaked Bricks","264"
"Wood/Planks","405"
"Total","6724"
