"Population by Five Years Age Group","Number"
"0-4",""
"Female","2107"
"Male","2046"
"10-14",""
"Female","2431"
"Male","2580"
"15-19",""
"Female","1767"
"Male","2174"
"20-24",""
"Female","1545"
"Male","1528"
"25-29",""
"Female","1531"
"Male","1448"
"30-34",""
"Female","1412"
"Male","1230"
"35-39",""
"Female","1144"
"Male","1274"
"40-44",""
"Female","920"
"Male","989"
"45-49",""
"Female","651"
"Male","852"
"50-54",""
"Female","546"
"Male","607"
"55-59",""
"Female","455"
"Male","473"
"5-9",""
"Female","2557"
"Male","2721"
"60-64",""
"Female","526"
"Male","528"
"65-69",""
"Female","365"
"Male","396"
"70-74",""
"Female","254"
"Male","305"
"75+",""
"Female","195"
"Male","290"
