"Industries Employment","Number"
"Accommodation,  food",""
"Female","537"
"Male","558"
"Administrative, support service",""
"Female","2"
"Male","2"
"Agriculture, forestry and  fishing",""
"Female","55"
"Male","101"
"Arts, entertainment, recreation",""
"Female","7"
"Male","19"
"Construction",""
"Female","0"
"Male","0"
"Education",""
"Female","305"
"Male","448"
"Electricity, gas and water",""
"Female","31"
"Male","269"
"Financial intermediation and insurance",""
"Female","44"
"Male","121"
"Health, social work",""
"Female","83"
"Male","66"
"Information and communication",""
"Female","5"
"Male","11"
"Manufacturing",""
"Female","80"
"Male","149"
"Other service activities",""
"Female","61"
"Male","136"
"Professional, scientific, techniqual activity",""
"Female","0"
"Male","1"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","4"
"Male","25"
"Water supply, wet management",""
"Female","0"
"Male","0"
"Wholesale, retail trade",""
"Female","540"
"Male","514"
