"Industries Types","Number"
"Accommodation and food","431"
"Administrative and support service activity","3"
"Agriculture, forestry and fishing","61"
"Art, entertainment and recreation","4"
"Construction","0"
"Education","85"
"Electricty gas and water","9"
"Financial intermediation and insurance","36"
"Health and social work","27"
"Information and communications","4"
"Manufacturing","96"
"Mining and quarrying","0"
"Other service activities","69"
"Professional,scientific and techniqual activity","1"
"Real state, renting and business activities","0"
"Transport and storage","9"
"Water supply, wet management","0"
"Wholesale and retail trade","537"
"Total","1372"
