"Agricultural land use area","Hectare"
"Area under arable land","25006.00"
"Area under meadows and pasture","280.00"
"Area under permanent crops","2070.00"
"Area under Temporary crops","24421.00"
"Area under temporary fallow","533.00"
"Area under temporary meadows","52.00"
"Other land","1111.00"
"Ponds","4.00"
"Woodland and forest","1304.00"
"Total","54781.00"
