"Number of households by type of outer wall","Number"
"BambooWall","2938"
"Cement Bonded Bricks/Stone Wall","211"
"Mud Bonded Bricks/Stone Wall","35175"
"Not Stated about Wall","87"
"Other Type Wall","69"
"Unbaked Bricks","633"
"Wood/Planks","280"
"Total","39393"
