"Population by Caste Ethinicity","Number"
"Badi",""
"Female","21"
"Male","19"
"","40"
"Bantaba",""
"Female","58"
"Male","42"
"","100"
"Baraee",""
"Female","5"
"Male","11"
"","16"
"Brahman - Hill",""
"Female","5927"
"Male","5246"
"","11173"
"Brahman - Tarai",""
"Female","12"
"Male","19"
"","31"
"Chamling",""
"Female","33"
"Male","18"
"","51"
"Chepang /Praja",""
"Female","8"
"Male","11"
"","19"
"Chhetri",""
"Female","18969"
"Male","16709"
"","35678"
"Dalit Others",""
"Female","30"
"Male","28"
"","58"
"Damai/Dholi",""
"Female","2593"
"Male","2147"
"","4740"
"Gaine",""
"Female","24"
"Male","20"
"","44"
"Ghale",""
"Female","268"
"Male","243"
"","511"
"Gharti/Bhujel",""
"Female","1654"
"Male","1497"
"","3151"
"Gurung",""
"Female","432"
"Male","376"
"","808"
"Hajam/Thakur",""
"Female","28"
"Male","31"
"","59"
"Halwai",""
"Female","0"
"Male","11"
"","11"
"Hayu",""
"Female","8"
"Male","5"
"","13"
"Kami",""
"Female","4761"
"Male","4085"
"","8846"
"Khawas",""
"Female","23"
"Male","30"
"","53"
"Kulung",""
"Female","2032"
"Male","1917"
"","3949"
"Kumal",""
"Female","140"
"Male","122"
"","262"
"Lhomi",""
"Female","9"
"Male","4"
"","13"
"Limbu",""
"Female","107"
"Male","82"
"","189"
"Magar",""
"Female","4509"
"Male","3983"
"","8492"
"Majhi",""
"Female","175"
"Male","157"
"","332"
"Mallaha",""
"Female","16"
"Male","19"
"","35"
"Mewahang Bala",""
"Female","226"
"Male","211"
"","437"
"Nachhiring",""
"Female","609"
"Male","557"
"","1166"
"Newar",""
"Female","7690"
"Male","6885"
"","14575"
"Nurang",""
"Female","5"
"Male","9"
"","14"
"Others",""
"Female","269"
"Male","299"
"","568"
"Rai",""
"Female","30979"
"Male","27249"
"","58228"
"Samgpang",""
"Female","81"
"Male","72"
"","153"
"Sanyasi/Dasnami",""
"Female","874"
"Male","807"
"","1681"
"Sarki",""
"Female","2281"
"Male","1896"
"","4177"
"Sherpa",""
"Female","1690"
"Male","1325"
"","3015"
"Sonar",""
"Female","6"
"Male","5"
"","11"
"Sunuwar",""
"Female","113"
"Male","105"
"","218"
"Tamang",""
"Female","9090"
"Male","8058"
"","17148"
"Teli",""
"Female","5"
"Male","20"
"","25"
"Terai Others",""
"Female","15"
"Male","16"
"","31"
"Thakuri",""
"Female","71"
"Male","67"
"","138"
"Thami",""
"Female","110"
"Male","80"
"","190"
"Tharu",""
"Female","36"
"Male","37"
"","73"
"Thulung",""
"Female","101"
"Male","102"
"","203"
"Undefined Others",""
"Female","42"
"Male","37"
"","79"
"Yadav",""
"Female","8"
"Male","29"
"","37"
"Yakkha",""
"Female","134"
"Male","101"
"","235"
"Yamphu",""
"Female","79"
"Male","70"
"","149"
