"Number of households by type of outer wall","Number"
"BambooWall","1603"
"Cement Bonded Bricks/Stone Wall","2191"
"Mud Bonded Bricks/Stone Wall","6805"
"Not Stated about Wall","149"
"Other Type Wall","165"
"Unbaked Bricks","107"
"Wood/Planks","363"
"Total","11383"
