"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","228"
"Cow Dung","10"
"Electricity Fuel","20"
"KeroseneFuel","99"
"LP Gas","2176"
"Not Sated about Fuel","93"
"OthersFuel","31"
"Wood/FireWood","8726"
"Total","11383"
