"Population by Religion","Number"
"Bahai","12"
"Bon","6"
"Buddism","6794"
"Christianity","1233"
"Hindu","28794"
"Islam","60"
"Jainism","3"
"Kirat","11948"
"Prakriti","220"
"Sikhism","0"
"Undefined","260"
"Total","49330"
