"Agricultural land use area","Hectare"
"Area under arable land","55735.00"
"Area under meadows and pasture","298.00"
"Area under permanent crops","2765.00"
"Area under Temporary crops","55389.00"
"Area under temporary fallow","296.00"
"Area under temporary meadows","51.00"
"Other land","2782.00"
"Ponds","15.00"
"Woodland and forest","356.00"
"Total","117687.00"
