"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","39167"
"Mud Roof","0"
"Not Sated Roof","974"
"Other Type of Roof","108"
"RCC Roof","19406"
"Thatch/Straw Roof","41306"
"Tile/Slate Roof","14995"
"Wood/Planks Roof","391"
"Total","116347"
