"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","36"
"Male","34"
"Bhote",""
"Female","187"
"Male","26"
"Brahman - Hill",""
"Female","15812"
"Male","13662"
"Chhetri",""
"Female","27484"
"Male","24366"
"Dalit Others",""
"Female","62"
"Male","59"
"Damai/Dholi",""
"Female","2866"
"Male","2565"
"Danuwar",""
"Female","1886"
"Male","1724"
"Foreigner",""
"Female","127"
"Male","94"
"Ghale",""
"Female","324"
"Male","310"
"Gharti/Bhujel",""
"Female","1365"
"Male","1253"
"Gurung",""
"Female","1503"
"Male","1376"
"Hajam/Thakur",""
"Female","17"
"Male","29"
"Hyolmo",""
"Female","2457"
"Male","2359"
"Jirel",""
"Female","131"
"Male","122"
"Kalwar",""
"Female","9"
"Male","11"
"Kami",""
"Female","5980"
"Male","5153"
"Limbu",""
"Female","6"
"Male","6"
"Magar",""
"Female","2460"
"Male","2378"
"Majhi",""
"Female","3444"
"Male","3127"
"Newar",""
"Female","16559"
"Male","15248"
"Others",""
"Female","399"
"Male","489"
"Pahari",""
"Female","941"
"Male","924"
"Rai",""
"Female","66"
"Male","60"
"Sanyasi/Dasnami",""
"Female","5762"
"Male","4612"
"Sarki",""
"Female","2254"
"Male","2121"
"Sherpa",""
"Female","3767"
"Male","3651"
"Sonar",""
"Female","15"
"Male","18"
"Sunuwar",""
"Female","10"
"Male","9"
"Tamang",""
"Female","50188"
"Male","48051"
"Teli",""
"Female","19"
"Male","50"
"Terai Others",""
"Female","23"
"Male","15"
"Thakuri",""
"Female","372"
"Male","257"
"Thami",""
"Female","2515"
"Male","2361"
"Tharu",""
"Female","26"
"Male","71"
"Undefined Others",""
"Female","16"
"Male","19"
"Yadav",""
"Female","19"
"Male","53"
