"Agricultural land use area","Hectare"
"Area under arable land","30905.51"
"Area under meadows and pasture","489.74"
"Area under permanent crops","1022.17"
"Area under Temporary crops","29780.66"
"Area under temporary fallow","840.76"
"Area under temporary meadows","284.10"
"Other land","1350.50"
"Ponds","11.19"
"Woodland and forest","1002.35"
