"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","20"
"Male","58"
"Bote",""
"Female","7"
"Male","4"
"Danuwar",""
"Female","1815"
"Male","1659"
"Gurung",""
"Female","409"
"Male","360"
"Hindi",""
"Female","8"
"Male","37"
"Hyolmo/Yholmo",""
"Female","2400"
"Male","2321"
"Magar",""
"Female","143"
"Male","162"
"Maithili",""
"Female","168"
"Male","444"
"Majhi",""
"Female","276"
"Male","246"
"Nepali",""
"Female","80878"
"Male","71543"
"Newar",""
"Female","8801"
"Male","8130"
"Not Reported",""
"Female","197"
"Male","169"
"Others",""
"Female","231"
"Male","261"
"Pahari",""
"Female","203"
"Male","185"
"Rai",""
"Female","16"
"Male","21"
"Sherpa",""
"Female","3835"
"Male","3762"
"Sign Language",""
"Female","4"
"Male","9"
"Tamang",""
"Female","47826"
"Male","45701"
"Thami",""
"Female","1692"
"Male","1575"
"Tharu",""
"Female","3"
"Male","8"
"Tibetan",""
"Female","175"
"Male","8"
