"Population by Five Years Age Group","Number"
"0-4",""
"Female","11705"
"Male","11819"
"10-14",""
"Female","19444"
"Male","19253"
"15-19",""
"Female","16985"
"Male","15357"
"20-24",""
"Female","12403"
"Male","9828"
"25-29",""
"Female","10869"
"Male","8492"
"30-34",""
"Female","9024"
"Male","7433"
"35-39",""
"Female","9136"
"Male","7459"
"40-44",""
"Female","8685"
"Male","7544"
"45-49",""
"Female","7150"
"Male","6989"
"50-54",""
"Female","6704"
"Male","6769"
"55-59",""
"Female","5087"
"Male","5573"
"5-9",""
"Female","16065"
"Male","15907"
"60-64",""
"Female","5122"
"Male","4991"
"65-69",""
"Female","3857"
"Male","3908"
"70-74",""
"Female","3285"
"Male","3107"
"75+",""
"Female","3926"
"Male","3922"
