"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","502"
"Male","533"
"Bangali",""
"Female","89"
"Male","103"
"Baraee",""
"Female","369"
"Male","387"
"Bhote",""
"Female","16"
"Male","19"
"Brahman - Hill",""
"Female","259"
"Male","246"
"Brahman - Tarai",""
"Female","596"
"Male","588"
"Chamar/ Harijan/ Ram",""
"Female","1309"
"Male","1466"
"Chhetri",""
"Female","145"
"Male","157"
"Dalit Others",""
"Female","44"
"Male","62"
"Damai/Dholi",""
"Female","15"
"Male","11"
"Dhandi",""
"Female","72"
"Male","72"
"Dhankar/ Dharikar",""
"Female","11"
"Male","12"
"Dhobi",""
"Female","679"
"Male","779"
"Dhunia",""
"Female","45"
"Male","38"
"Dusadh/ Pasawan/ Pasi",""
"Female","1604"
"Male","1754"
"Gaderi/Bhedihar",""
"Female","135"
"Male","134"
"Hajam/Thakur",""
"Female","552"
"Male","552"
"Halwai",""
"Female","144"
"Male","153"
"Kahar",""
"Female","1327"
"Male","1357"
"Kalwar",""
"Female","250"
"Male","243"
"Kami",""
"Female","93"
"Male","80"
"Kathabaniyan",""
"Female","420"
"Male","429"
"Kayastha",""
"Female","58"
"Male","63"
"Kewat",""
"Female","517"
"Male","542"
"Koiri/Kushwaha",""
"Female","169"
"Male","184"
"Kori",""
"Female","439"
"Male","458"
"Kurmi",""
"Female","3975"
"Male","4271"
"Lodh",""
"Female","11"
"Male","16"
"Lohar",""
"Female","243"
"Male","247"
"Magar",""
"Female","42"
"Male","41"
"Mali",""
"Female","10"
"Male","16"
"Mallaha",""
"Female","241"
"Male","237"
"Marwadi",""
"Female","20"
"Male","27"
"Musalman",""
"Female","6649"
"Male","6807"
"Natuwa",""
"Female","21"
"Male","19"
"Newar",""
"Female","14"
"Male","15"
"Others",""
"Female","35"
"Male","17"
"Pattharkatta/ Kushwadiya",""
"Female","11"
"Male","11"
"Rai",""
"Female","30"
"Male","35"
"Sanyasi/Dasnami",""
"Female","236"
"Male","277"
"Sarki",""
"Female","9"
"Male","13"
"Satar/ Santhal",""
"Female","5"
"Male","6"
"Sonar",""
"Female","17"
"Male","14"
"Tamang",""
"Female","13"
"Male","11"
"Teli",""
"Female","704"
"Male","698"
"Terai Others",""
"Female","657"
"Male","659"
"Thakali",""
"Female","5"
"Male","6"
"Thakuri",""
"Female","7"
"Male","5"
"Tharu",""
"Female","326"
"Male","334"
"Yadav",""
"Female","3538"
"Male","3918"
