"Population by Literacy Status","Number"
"Literate",""
"Female","8400"
"Male","14570"
"Not Read/Write",""
"Female","14096"
"Male","9180"
"Not Stated",""
"Female","34"
"Male","15"
"Read Only",""
"Female","912"
"Male","984"
