"Population by Five Years Age Group","Number"
"0-4",""
"Female","3236"
"Male","3375"
"10-14",""
"Female","3483"
"Male","3847"
"15-19",""
"Female","2629"
"Male","2905"
"20-24",""
"Female","2130"
"Male","2034"
"25-29",""
"Female","2003"
"Male","2070"
"30-34",""
"Female","1816"
"Male","1607"
"35-39",""
"Female","1516"
"Male","1698"
"40-44",""
"Female","1234"
"Male","1323"
"45-49",""
"Female","956"
"Male","1113"
"50-54",""
"Female","835"
"Male","926"
"55-59",""
"Female","791"
"Male","828"
"5-9",""
"Female","3870"
"Male","3942"
"60-64",""
"Female","845"
"Male","920"
"65-69",""
"Female","556"
"Male","772"
"70-74",""
"Female","415"
"Male","434"
"75+",""
"Female","367"
"Male","425"
