"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","196"
"Male","145"
"Brahman - Hill",""
"Female","4288"
"Male","3009"
"Chhetri",""
"Female","212"
"Male","151"
"Damai/Dholi",""
"Female","292"
"Male","215"
"Gharti/Bhujel",""
"Female","73"
"Male","53"
"Gurung",""
"Female","8"
"Male","5"
"Kami",""
"Female","870"
"Male","613"
"Kumal",""
"Female","639"
"Male","568"
"Magar",""
"Female","5151"
"Male","3802"
"Musalman",""
"Female","12"
"Male","8"
"Newar",""
"Female","317"
"Male","262"
"Others",""
"Female","16"
"Male","16"
"Sarki",""
"Female","185"
"Male","104"
"Tamang",""
"Female","16"
"Male","1"
"Thakuri",""
"Female","73"
"Male","50"
"Tharu",""
"Female","3"
"Male","8"
