"Population by Five Years Age Group","Number"
"0-4",""
"Female","1316"
"Male","1391"
"10-14",""
"Female","1312"
"Male","1235"
"15-19",""
"Female","985"
"Male","892"
"20-24",""
"Female","771"
"Male","570"
"25-29",""
"Female","659"
"Male","532"
"30-34",""
"Female","567"
"Male","406"
"35-39",""
"Female","520"
"Male","413"
"40-44",""
"Female","398"
"Male","393"
"45-49",""
"Female","360"
"Male","318"
"50-54",""
"Female","269"
"Male","265"
"55-59",""
"Female","269"
"Male","271"
"5-9",""
"Female","1350"
"Male","1319"
"60-64",""
"Female","262"
"Male","194"
"65-69",""
"Female","195"
"Male","143"
"70-74",""
"Female","95"
"Male","76"
"75+",""
"Female","94"
"Male","66"
