"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","701"
"Male","569"
"","1270"
"Chhetri",""
"Female","1801"
"Male","1565"
"","3366"
"Damai/Dholi",""
"Female","330"
"Male","295"
"","625"
"Gharti/Bhujel",""
"Female","274"
"Male","235"
"","509"
"Gurung",""
"Female","10"
"Male","2"
"","12"
"Kami",""
"Female","499"
"Male","459"
"","958"
"Magar",""
"Female","741"
"Male","635"
"","1376"
"Newar",""
"Female","175"
"Male","161"
"","336"
"Others",""
"Female","24"
"Male","34"
"","58"
"Rai",""
"Female","4047"
"Male","3506"
"","7553"
"Sanyasi/Dasnami",""
"Female","120"
"Male","113"
"","233"
"Sarki",""
"Female","206"
"Male","162"
"","368"
"Sherpa",""
"Female","53"
"Male","41"
"","94"
"Tamang",""
"Female","1128"
"Male","989"
"","2117"
"Teli",""
"Female","2"
"Male","11"
"","13"
