"Population by Religion","Number"
"Bahai","3"
"Bon","1"
"Buddism","2863"
"Christianity","74"
"Hindu","8735"
"Islam","0"
"Jainism","0"
"Kirat","7161"
"Prakriti","9"
"Sikhism","0"
"Undefined","48"
"Total","18894"
