"Population by Mother tongue","Number"
"Bantawa",""
"Female","3332"
"Male","2880"
"","6212"
"Bhujel",""
"Female","71"
"Male","59"
"","130"
"Chamling",""
"Female","285"
"Male","248"
"","533"
"Magar",""
"Female","328"
"Male","295"
"","623"
"Maithili",""
"Female","10"
"Male","23"
"","33"
"Nepali",""
"Female","5041"
"Male","4355"
"","9396"
"Newar",""
"Female","100"
"Male","107"
"","207"
"Not Reported",""
"Female","13"
"Male","6"
"","19"
"Others",""
"Female","17"
"Male","19"
"","36"
"Rai",""
"Female","47"
"Male","56"
"","103"
"Sherpa",""
"Female","54"
"Male","42"
"","96"
"Tamang",""
"Female","813"
"Male","687"
"","1500"
