"Population by Single Year of Age","Number"
"0",""
"Female","732"
"Male","838"
"1",""
"Female","608"
"Male","680"
"10",""
"Female","1572"
"Male","1661"
"11",""
"Female","525"
"Male","564"
"12",""
"Female","1323"
"Male","1426"
"13",""
"Female","732"
"Male","769"
"14",""
"Female","1001"
"Male","937"
"15",""
"Female","845"
"Male","864"
"16",""
"Female","983"
"Male","1037"
"17",""
"Female","543"
"Male","601"
"18",""
"Female","956"
"Male","1124"
"19",""
"Female","370"
"Male","466"
"2",""
"Female","968"
"Male","981"
"20",""
"Female","943"
"Male","813"
"21",""
"Female","359"
"Male","291"
"22",""
"Female","694"
"Male","641"
"23",""
"Female","525"
"Male","333"
"24",""
"Female","658"
"Male","404"
"25",""
"Female","863"
"Male","852"
"26",""
"Female","562"
"Male","396"
"27",""
"Female","323"
"Male","307"
"28",""
"Female","994"
"Male","732"
"29",""
"Female","175"
"Male","176"
"3",""
"Female","996"
"Male","1044"
"30",""
"Female","946"
"Male","942"
"31",""
"Female","147"
"Male","133"
"32",""
"Female","528"
"Male","422"
"33",""
"Female","378"
"Male","168"
"34",""
"Female","337"
"Male","136"
"35",""
"Female","749"
"Male","1007"
"36",""
"Female","284"
"Male","270"
"37",""
"Female","150"
"Male","144"
"38",""
"Female","709"
"Male","383"
"39",""
"Female","124"
"Male","106"
"4",""
"Female","1004"
"Male","992"
"40",""
"Female","765"
"Male","938"
"41",""
"Female","133"
"Male","83"
"42",""
"Female","293"
"Male","300"
"43",""
"Female","290"
"Male","109"
"44",""
"Female","168"
"Male","117"
"45",""
"Female","518"
"Male","869"
"46",""
"Female","147"
"Male","117"
"47",""
"Female","96"
"Male","86"
"48",""
"Female","467"
"Male","297"
"49",""
"Female","77"
"Male","83"
"5",""
"Female","1194"
"Male","1285"
"50",""
"Female","510"
"Male","711"
"51",""
"Female","76"
"Male","79"
"52",""
"Female","170"
"Male","208"
"53",""
"Female","165"
"Male","84"
"54",""
"Female","131"
"Male","69"
"55",""
"Female","401"
"Male","636"
"56",""
"Female","111"
"Male","96"
"57",""
"Female","78"
"Male","78"
"58",""
"Female","331"
"Male","189"
"59",""
"Female","64"
"Male","70"
"6",""
"Female","1133"
"Male","1156"
"60",""
"Female","466"
"Male","674"
"61",""
"Female","53"
"Male","60"
"62",""
"Female","140"
"Male","116"
"63",""
"Female","129"
"Male","65"
"64",""
"Female","76"
"Male","41"
"65",""
"Female","425"
"Male","586"
"66",""
"Female","43"
"Male","41"
"67",""
"Female","40"
"Male","44"
"68",""
"Female","192"
"Male","152"
"69",""
"Female","32"
"Male","34"
"7",""
"Female","800"
"Male","896"
"70",""
"Female","344"
"Male","431"
"71",""
"Female","37"
"Male","23"
"72",""
"Female","83"
"Male","71"
"73",""
"Female","46"
"Male","31"
"74",""
"Female","33"
"Male","16"
"75",""
"Female","194"
"Male","239"
"76",""
"Female","22"
"Male","21"
"77",""
"Female","5"
"Male","12"
"78",""
"Female","38"
"Male","40"
"79",""
"Female","6"
"Male","6"
"8",""
"Female","1473"
"Male","1499"
"80",""
"Female","103"
"Male","134"
"81",""
"Female","0"
"Male","8"
"82",""
"Female","5"
"Male","7"
"83",""
"Female","2"
"Male","3"
"84",""
"Female","3"
"Male","3"
"85",""
"Female","103"
"Male","108"
"9",""
"Female","544"
"Male","625"
