"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","0"
"Christianity","128"
"Hindu","35162"
"Islam","2"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","2"
"Total","35295"
