"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","10"
"Cow Dung","2"
"Electricity Fuel","1"
"KeroseneFuel","16"
"LP Gas","450"
"Not Sated about Fuel","9"
"OthersFuel","10"
"Wood/FireWood","3622"
"Total","4120"
